Array Size(N),Threshold(S),Key Comparison 1, Key Comparison 2, Key Comparison 3, Key Comparison 4, Key Comparison 5,Average Key Comparison,Array Size(N=1000),Array Size(N=2500),Array Size(N=5000),Array Size(N=7500),Array Size(N=10000),Array Size(N=25000),Array Size(N=50000),Array Size(N=75000),Array Size(N=100000),Array Size(N=250000),Array Size(N=500000),Array Size(N=750000),Array Size(N=1000000),Array Size(N=2500000),Array Size(N=5000000),Array Size(N=7500000),Array Size(N=10000000)
50000,11,759497,759792,759104,760328,759639,759672,,,,,,,759672,,,,,,,,,,
50000,12,769503,769540,769020,769946,769759,769553.6,,,,,,,769553.6,,,,,,,,,,
50000,13,769503,769540,769020,769946,769759,769553.6,,,,,,,769553.6,,,,,,,,,,
50000,14,769503,769540,769020,769946,769759,769553.6,,,,,,,769553.6,,,,,,,,,,
50000,15,769503,769540,769020,769946,769759,769553.6,,,,,,,769553.6,,,,,,,,,,
50000,16,769503,769540,769020,769946,769759,769553.6,,,,,,,769553.6,,,,,,,,,,
50000,17,769503,769540,769020,769946,769759,769553.6,,,,,,,769553.6,,,,,,,,,,
50000,18,769503,769540,769020,769946,769759,769553.6,,,,,,,769553.6,,,,,,,,,,
50000,19,769503,769540,769020,769946,769759,769553.6,,,,,,,769553.6,,,,,,,,,,
50000,20,769503,769540,769020,769946,769759,769553.6,,,,,,,769553.6,,,,,,,,,,
75000,2,1121178,1120956,1121130,1121125,1120874,1121052.6,,,,,,,,1121052.6,,,,,,,,,
75000,3,1122970,1122691,1122911,1122789,1122481,1122768.4,,,,,,,,1122768.4,,,,,,,,,
75000,4,1128279,1127899,1127763,1128146,1127740,1127965.4,,,,,,,,1127965.4,,,,,,,,,
75000,5,1128279,1127899,1127763,1128146,1127740,1127965.4,,,,,,,,1127965.4,,,,,,,,,
75000,6,1128279,1127899,1127763,1128146,1127740,1127965.4,,,,,,,,1127965.4,,,,,,,,,
75000,7,1128279,1127899,1127763,1128146,1127740,1127965.4,,,,,,,,1127965.4,,,,,,,,,
75000,8,1157203,1156699,1156282,1156696,1157036,1156783.2,,,,,,,,1156783.2,,,,,,,,,
75000,9,1164433,1164008,1163580,1164101,1164327,1164089.8,,,,,,,,1164089.8,,,,,,,,,
75000,10,1164433,1164008,1163580,1164101,1164327,1164089.8,,,,,,,,1164089.8,,,,,,,,,
75000,11,1164433,1164008,1163580,1164101,1164327,1164089.8,,,,,,,,1164089.8,,,,,,,,,
75000,12,1164433,1164008,1163580,1164101,1164327,1164089.8,,,,,,,,1164089.8,,,,,,,,,
75000,13,1164433,1164008,1163580,1164101,1164327,1164089.8,,,,,,,,1164089.8,,,,,,,,,
75000,14,1164433,1164008,1163580,1164101,1164327,1164089.8,,,,,,,,1164089.8,,,,,,,,,
75000,15,1164433,1164008,1163580,1164101,1164327,1164089.8,,,,,,,,1164089.8,,,,,,,,,
75000,16,1164433,1164008,1163580,1164101,1164327,1164089.8,,,,,,,,1164089.8,,,,,,,,,
75000,17,1238743,1239654,1236995,1239158,1238241,1238558.2,,,,,,,,1238558.2,,,,,,,,,
75000,18,1276395,1277657,1275459,1277352,1276316,1276635.8,,,,,,,,1276635.8,,,,,,,,,
75000,19,1276395,1277657,1275459,1277352,1276316,1276635.8,,,,,,,,1276635.8,,,,,,,,,
75000,20,1276395,1277657,1275459,1277352,1276316,1276635.8,,,,,,,,1276635.8,,,,,,,,,
100000,2,1535977,1536141,1536117,1536024,1535809,1536013.6,,,,,,,,,1536013.6,,,,,,,,
100000,3,1536394,1536576,1536523,1536474,1536264,1536446.2,,,,,,,,,1536446.2,,,,,,,,
100000,4,1536394,1536576,1536523,1536474,1536264,1536446.2,,,,,,,,,1536446.2,,,,,,,,
100000,5,1554030,1554285,1554495,1553707,1554405,1554184.4,,,,,,,,,1554184.4,,,,,,,,
100000,6,1557459,1557586,1557736,1557091,1557552,1557484.8,,,,,,,,,1557484.8,,,,,,,,
100000,7,1557459,1557586,1557736,1557091,1557552,1557484.8,,,,,,,,,1557484.8,,,,,,,,
100000,8,1557459,1557586,1557736,1557091,1557552,1557484.8,,,,,,,,,1557484.8,,,,,,,,
100000,9,1557459,1557586,1557736,1557091,1557552,1557484.8,,,,,,,,,1557484.8,,,,,,,,
100000,10,1557459,1557586,1557736,1557091,1557552,1557484.8,,,,,,,,,1557484.8,,,,,,,,
100000,11,1618723,1618816,1618997,1618525,1619595,1618931.2,,,,,,,,,1618931.2,,,,,,,,
100000,12,1638298,1638622,1638573,1638701,1639715,1638781.8,,,,,,,,,1638781.8,,,,,,,,
100000,13,1638298,1638622,1638573,1638701,1639715,1638781.8,,,,,,,,,1638781.8,,,,,,,,
100000,14,1638298,1638622,1638573,1638701,1639715,1638781.8,,,,,,,,,1638781.8,,,,,,,,
100000,15,1638298,1638622,1638573,1638701,1639715,1638781.8,,,,,,,,,1638781.8,,,,,,,,
100000,16,1638298,1638622,1638573,1638701,1639715,1638781.8,,,,,,,,,1638781.8,,,,,,,,
100000,17,1638298,1638622,1638573,1638701,1639715,1638781.8,,,,,,,,,1638781.8,,,,,,,,
100000,18,1638298,1638622,1638573,1638701,1639715,1638781.8,,,,,,,,,1638781.8,,,,,,,,
100000,19,1638298,1638622,1638573,1638701,1639715,1638781.8,,,,,,,,,1638781.8,,,,,,,,
100000,20,1638298,1638622,1638573,1638701,1639715,1638781.8,,,,,,,,,1638781.8,,,,,,,,
250000,2,4168651,4167526,4167912,4167502,4168132,4167944.6,,,,,,,,,,4167944.6,,,,,,,
250000,3,4181974,4181493,4180907,4180878,4181375,4181325.4,,,,,,,,,,4181325.4,,,,,,,
250000,4,4181974,4181493,4180907,4180878,4181375,4181325.4,,,,,,,,,,4181325.4,,,,,,,
250000,5,4181974,4181493,4180907,4180878,4181375,4181325.4,,,,,,,,,,4181325.4,,,,,,,
250000,6,4205118,4204926,4204100,4204523,4204796,4204692.6,,,,,,,,,,4204692.6,,,,,,,
250000,7,4267922,4268282,4266691,4267419,4266661,4267395,,,,,,,,,,4267395,,,,,,,
250000,8,4267922,4268282,4266691,4267419,4266661,4267395,,,,,,,,,,4267395,,,,,,,
250000,9,4267922,4268282,4266691,4267419,4266661,4267395,,,,,,,,,,4267395,,,,,,,
250000,10,4267922,4268282,4266691,4267419,4266661,4267395,,,,,,,,,,4267395,,,,,,,
250000,11,4267922,4268282,4266691,4267419,4266661,4267395,,,,,,,,,,4267395,,,,,,,
250000,12,4267922,4268282,4266691,4267419,4266661,4267395,,,,,,,,,,4267395,,,,,,,
250000,13,4267922,4268282,4266691,4267419,4266661,4267395,,,,,,,,,,4267395,,,,,,,
250000,14,4469852,4473149,4470486,4469418,4470637,4470708.4,,,,,,,,,,4470708.4,,,,,,,
250000,15,4553031,4556739,4554121,4553489,4554943,4554464.6,,,,,,,,,,4554464.6,,,,,,,
250000,16,4553031,4556739,4554121,4553489,4554943,4554464.6,,,,,,,,,,4554464.6,,,,,,,
250000,17,4553031,4556739,4554121,4553489,4554943,4554464.6,,,,,,,,,,4554464.6,,,,,,,
250000,18,4553031,4556739,4554121,4553489,4554943,4554464.6,,,,,,,,,,4554464.6,,,,,,,
250000,19,4553031,4556739,4554121,4553489,4554943,4554464.6,,,,,,,,,,4554464.6,,,,,,,
250000,20,4553031,4556739,4554121,4553489,4554943,4554464.6,,,,,,,,,,4554464.6,,,,,,,
500000,2,8835926,8835605,8835577,8834974,8834839,8835384.2,,,,,,,,,,,8835384.2,,,,,,
500000,3,8862932,8862429,8862217,8861364,8861785,8862145.4,,,,,,,,,,,8862145.4,,,,,,
500000,4,8862932,8862429,8862217,8861364,8861785,8862145.4,,,,,,,,,,,8862145.4,,,,,,
500000,5,8862932,8862429,8862217,8861364,8861785,8862145.4,,,,,,,,,,,8862145.4,,,,,,
500000,6,8909563,8909492,8909128,8908226,8907990,8908879.8,,,,,,,,,,,8908879.8,,,,,,
500000,7,9034966,9034162,9034619,9033750,9034261,9034351.6,,,,,,,,,,,9034351.6,,,,,,
500000,8,9034966,9034162,9034619,9033750,9034261,9034351.6,,,,,,,,,,,9034351.6,,,,,,
500000,9,9034966,9034162,9034619,9033750,9034261,9034351.6,,,,,,,,,,,9034351.6,,,,,,
500000,10,9034966,9034162,9034619,9033750,9034261,9034351.6,,,,,,,,,,,9034351.6,,,,,,
500000,11,9034966,9034162,9034619,9033750,9034261,9034351.6,,,,,,,,,,,9034351.6,,,,,,
500000,12,9034966,9034162,9034619,9033750,9034261,9034351.6,,,,,,,,,,,9034351.6,,,,,,
500000,13,9034966,9034162,9034619,9033750,9034261,9034351.6,,,,,,,,,,,9034351.6,,,,,,
500000,14,9443482,9441937,9441775,9441291,9440887,9441874.4,,,,,,,,,,,9441874.4,,,,,,
500000,15,9610139,9609871,9608757,9610333,9610864,9609992.8,,,,,,,,,,,9609992.8,,,,,,
500000,16,9610139,9609871,9608757,9610333,9610864,9609992.8,,,,,,,,,,,9609992.8,,,,,,
500000,17,9610139,9609871,9608757,9610333,9610864,9609992.8,,,,,,,,,,,9609992.8,,,,,,
500000,18,9610139,9609871,9608757,9610333,9610864,9609992.8,,,,,,,,,,,9609992.8,,,,,,
500000,19,9610139,9609871,9608757,9610333,9610864,9609992.8,,,,,,,,,,,9609992.8,,,,,,
500000,20,9610139,9609871,9608757,9610333,9610864,9609992.8,,,,,,,,,,,9609992.8,,,,,,
750000,2,13702121,13702387,13703651,13702889,13702602,13702730,,,,,,,,,,,,13702730,,,,,
750000,3,13702121,13702387,13703651,13702889,13702602,13702730,,,,,,,,,,,,13702730,,,,,
750000,4,13722061,13722415,13723604,13723049,13722426,13722711,,,,,,,,,,,,13722711,,,,,
750000,5,13837375,13836372,13837942,13837717,13837602,13837401.6,,,,,,,,,,,,13837401.6,,,,,
750000,6,13837375,13836372,13837942,13837717,13837602,13837401.6,,,,,,,,,,,,13837401.6,,,,,
750000,7,13837375,13836372,13837942,13837717,13837602,13837401.6,,,,,,,,,,,,13837401.6,,,,,
750000,8,13837375,13836372,13837942,13837717,13837602,13837401.6,,,,,,,,,,,,13837401.6,,,,,
750000,9,13837375,13836372,13837942,13837717,13837602,13837401.6,,,,,,,,,,,,13837401.6,,,,,
750000,10,14108520,14106394,14109476,14106630,14106957,14107595.4,,,,,,,,,,,,14107595.4,,,,,
750000,11,14385135,14381888,14385867,14382993,14382330,14383642.6,,,,,,,,,,,,14383642.6,,,,,
750000,12,14385135,14381888,14385867,14382993,14382330,14383642.6,,,,,,,,,,,,14383642.6,,,,,
750000,13,14385135,14381888,14385867,14382993,14382330,14383642.6,,,,,,,,,,,,14383642.6,,,,,
750000,14,14385135,14381888,14385867,14382993,14382330,14383642.6,,,,,,,,,,,,14383642.6,,,,,
750000,15,14385135,14381888,14385867,14382993,14382330,14383642.6,,,,,,,,,,,,14383642.6,,,,,
750000,16,14385135,14381888,14385867,14382993,14382330,14383642.6,,,,,,,,,,,,14383642.6,,,,,
750000,17,14385135,14381888,14385867,14382993,14382330,14383642.6,,,,,,,,,,,,14383642.6,,,,,
